Player,Height,Headed_Goals,Total_Goals,Minutes_Played,Percentage Headed Goals of total goals,Average % headed goals,Goals per min,,
Callum Hudson-Odoi,182,0,0,27,0,,0,,
Dusan Tadic,181,0,20,9586,0,,0.002086376,,
Roberto Firmino,181,7,36,7825,19.44444444,,0.004600639,,
Anthony Martial,181,2,24,5772,8.333333333,,0.004158004,,
Manolo Gabbiadini,181,0,9,1805,0,,0.00498615,,
Jerome Sinclair,181,0,0,168,0,,0,,
Wilfried Zaha,180,0,22,10050,0,,0.002189055,,
Joshua King,180,0,30,7096,0,,0.004227734,,
Callum Wilson,180,2,19,4122,10.52631579,,0.004609413,,
Marcus Rashford,180,2,17,4369,11.76470588,,0.003891051,,
Wilfried Bony,180,3,19,4215,15.78947368,,0.004507711,,
Saido Berahino,180,2,18,6121,11.11111111,,0.002940696,,
Jamie Vardy,179,5,62,11447,8.064516129,,0.005416266,,
Richarlison,179,1,5,2827,20,,0.001768659,,
Nordin Amrabat,179,0,0,2802,0,,0,,
Ayoze Perez,178,2,21,6908,9.523809524,,0.003039954,,
Shane Long,178,6,20,6476,30,,0.003088326,,
Andre Gray,178,2,14,3763,14.28571429,,0.003720436,,
Elias Kachunga,178,0,1,1338,0,,0.000747384,,
Jese,178,0,1,616,0,,0.001623377,,
Nikola Vlasic,178,0,0,575,0,,0,,
Danny Ings,178,5,14,3638,35.71428571,,0.003848268,,
Joe Lolley,178,0,1,219,0,,0.00456621,,
Dwight Gayle,177,1,14,3819,7.142857143,9.359717399,0.003665881,,
Gerard Deulofeu,177,0,3,2279,0,,0.001316367,,
Wayne Rooney,176,3,35,9107,8.571428571,,0.003843198,,
Dominic Calvert-Lewin,176,2,5,2220,40,,0.002252252,,
Andre Ayew,176,6,21,6220,28.57142857,,0.003376206,,
Theo Walcott,176,0,23,4956,0,,0.004640839,,
Mohamed Salah,175,2,32,2951,6.25,,0.010843782,,
Alexandre Lacazette,175,2,14,2211,14.28571429,,0.006331976,,
Sadio Mane,175,2,44,9185,4.545454545,,0.004790419,,
Willian,175,1,19,8576,5.263157895,,0.002215485,,
Gabriel Jesus,175,4,20,2321,20,,0.008616975,,
Chicharito,175,2,8,1611,25,,0.00496586,,
Sandro Ramirez,175,0,0,276,0,,0,,
Reiss Nelson,175,0,0,146,0,,0,,
Rolando Aarons,175,1,1,642,100,,0.001557632,,
Eddie Nketiah,175,0,0,17,0,,0,,
Ben Woodburn,175,0,0,89,0,,0,,
Shinji Okazaki,174,0,14,4970,0,,0.002816901,,
Ademola Lookman,174,0,1,443,0,,0.002257336,,
Eden Hazard,173,3,46,10996,6.52173913,,0.004183339,,
Sergio Aguero,173,13,91,9284,14.28571429,,0.00980181,,
Jose Izquierdo,171,0,5,1987,0,,0.002516356,,
Jermain Defoe,171,0,38,8412,0,,0.004517356,,
Phil Foden,171,0,0,45,0,,0,,
Raheem Sterling,170,0,38,10082,0,,0.003769093,,
Bojan,170,1,14,3465,7.142857143,,0.004040404,,
Nahki Wells,170,0,0,46,0,,0,,
Sam Baldock,170,0,0,30,0,,0,,
Levi Lumeka,170,0,0,25,0,,0,,
Xherdan Shaqiri,169,0,15,6784,0,,0.002211085,,
Alexis Sanchez,169,7,62,11171,11.29032258,,0.005550085,,
Pedro,169,2,20,5714,10,,0.003500175,,
Michael Obafemi,169,0,0,8,0,,0,,
,,,,,,Average,0.003365926,0.336592587,0.0034
,,,,,,Min,0,,
,,,,,,Max,0.011824324,,

